Date,股票代码,名称,Close,High,Low,Open,Volume
2019-09-12,'399300,沪深300,3972.3799,3975.9311,3933.4366,3944.6917,11024127300
2019-09-11,'399300,沪深300,3930.0999,3971.2237,3922.9531,3969.6757,13159487500
2019-09-10,'399300,沪深300,3959.265,3976.9225,3938.7441,3976.8697,13088938600
2019-09-09,'399300,沪深300,3972.9484,3985.239,3954.8755,3980.9577,14680975400
2019-09-06,'399300,沪深300,3948.5075,3948.5397,3922.3361,3946.6854,12188237600
2019-09-05,'399300,沪深300,3925.323,3970.0038,3909.2087,3909.2087,18165623100
2019-09-04,'399300,沪深300,3886.0012,3886.0012,3846.4215,3848.6483,12662861500
2019-09-03,'399300,沪深300,3853.6106,3856.6813,3833.7571,3852.5794,9771463100
2019-09-02,'399300,沪深300,3848.3198,3855.7768,3799.8166,3803.689,11028934900
2019-08-30,'399300,沪深300,3799.5863,3828.9698,3778.9189,3816.678,9669515000
2019-08-29,'399300,沪深300,3790.1867,3808.5954,3774.3968,3805.494,8408338700
2019-08-28,'399300,沪深300,3802.5844,3822.5883,3790.1384,3818.8125,8875081200
2019-08-27,'399300,沪深300,3816.9459,3848.2358,3790.873,3791.4587,12473147800
2019-08-26,'399300,沪深300,3765.9105,3778.8665,3753.1646,3756.3618,9385926900
2019-08-23,'399300,沪深300,3820.8638,3829.3607,3788.0345,3796.8821,8795458300
2019-08-22,'399300,沪深300,3793.5061,3797.329,3771.2048,3793.8552,8580779200
2019-08-21,'399300,沪深300,3781.7579,3792.5955,3775.4474,3778.3091,8229988000
2019-08-20,'399300,沪深300,3787.7324,3799.8977,3778.7306,3786.026,10860208800
2019-08-19,'399300,沪深300,3791.0946,3791.0946,3720.6894,3736.0344,13932701300
2019-08-16,'399300,沪深300,3710.5386,3738.0964,3687.0751,3697.9407,8831916900
2019-08-15,'399300,沪深300,3694.0006,3694.2985,3612.1108,3618.0092,8859883200
2019-08-14,'399300,沪深300,3682.4015,3717.5579,3680.6086,3712.0657,9120259000
2019-08-13,'399300,沪深300,3665.7515,3686.4302,3658.0126,3675.5868,7650030200
2019-08-12,'399300,沪深300,3699.1047,3699.1047,3643.3161,3647.8661,8208305600
2019-08-09,'399300,沪深300,3633.5296,3689.1774,3628.1163,3686.7493,8529558000
2019-08-08,'399300,沪深300,3669.2936,3675.4603,3646.9386,3651.3571,8845770700
2019-08-07,'399300,沪深300,3621.431,3659.0778,3621.431,3654.6323,8423871600
2019-08-06,'399300,沪深300,3636.3289,3649.8953,3575.8626,3609.1118,12983387100
2019-08-05,'399300,沪深300,3675.6884,3739.5031,3675.6884,3724.4097,10132598100
2019-08-02,'399300,沪深300,3747.4379,3754.5326,3720.0584,3729.1309,10833589700
2019-08-01,'399300,沪深300,3803.4694,3831.2641,3791.546,3819.3242,8411418000
2019-07-31,'399300,沪深300,3835.3589,3856.745,3830.0914,3856.745,8215115500
2019-07-30,'399300,沪深300,3870.3176,3890.7298,3861.5698,3861.5698,9412395500
2019-07-29,'399300,沪深300,3854.2704,3862.7467,3842.426,3857.9394,8481437000
2019-07-26,'399300,沪深300,3858.5688,3863.5878,3832.5223,3835.2281,8325930000
2019-07-25,'399300,沪深300,3851.0665,3851.0665,3812.9532,3821.3898,9374041700
2019-07-24,'399300,沪深300,3819.8325,3840.0579,3803.5738,3803.5867,9094068400
2019-07-23,'399300,沪深300,3789.9135,3792.9647,3768.7614,3783.5411,7131334600
2019-07-22,'399300,沪深300,3781.6832,3816.5387,3765.4428,3813.5022,9210137700
2019-07-19,'399300,沪深300,3807.9551,3828.1514,3787.5079,3787.5079,8808614900
2019-07-18,'399300,沪深300,3768.4019,3793.3916,3767.9958,3793.1893,8749644500
2019-07-17,'399300,沪深300,3804.6384,3820.2713,3787.8973,3800.1064,9518388500
2019-07-16,'399300,沪深300,3806.8449,3828.3256,3799.8665,3819.2474,8073095200
2019-07-15,'399300,沪深300,3824.1878,3844.8683,3745.8549,3792.6409,10120522200
2019-07-12,'399300,沪深300,3808.7311,3820.2354,3774.5224,3783.0733,7546596700
2019-07-11,'399300,沪深300,3785.221,3830.7387,3774.4137,3806.1855,7531196500
2019-07-10,'399300,沪深300,3786.739,3810.396,3774.2304,3807.9497,7283394800
2019-07-09,'399300,沪深300,3793.1297,3811.0993,3774.7641,3798.0954,7484273200
2019-07-08,'399300,沪深300,3802.7897,3875.7547,3775.0259,3875.7547,10953908600
2019-07-05,'399300,沪深300,3893.2025,3900.3095,3857.928,3875.3736,7400652700
2019-07-04,'399300,沪深300,3873.1019,3906.8894,3854.693,3895.1978,9934225600
2019-07-03,'399300,沪深300,3893.5341,3927.4365,3878.8405,3927.4365,11199260300
2019-07-02,'399300,沪深300,3937.1691,3942.4257,3918.9378,3931.0486,13186349600
2019-07-01,'399300,沪深300,3935.8116,3936.668,3886.909,3899.3313,15837034000
2019-06-28,'399300,沪深300,3825.5873,3835.2326,3803.0546,3832.0599,8476613900
2019-06-27,'399300,沪深300,3834.8172,3854.0801,3805.8328,3807.5376,10531635800
2019-06-26,'399300,沪深300,3794.331,3809.758,3771.7164,3779.5125,8182028300
2019-06-25,'399300,沪深300,3801.3098,3838.0578,3755.0099,3837.4259,12407591200
2019-06-24,'399300,沪深300,3841.2659,3853.5452,3819.7692,3836.3051,10008462100
2019-06-21,'399300,沪深300,3833.9383,3856.0856,3817.3068,3832.7321,15363515500
2019-06-20,'399300,沪深300,3828.5183,3845.7912,3717.1857,3718.9416,16887207300
2019-06-19,'399300,沪深300,3715.9381,3771.347,3715.1331,3761.3381,12559571500
2019-06-18,'399300,沪深300,3667.6185,3675.6452,3638.78,3661.1299,7069226600
2019-06-17,'399300,沪深300,3654.8248,3683.7743,3645.4982,3654.4433,7297667800
2019-06-14,'399300,沪深300,3654.8799,3709.6521,3650.9096,3690.4763,10181700400
2019-06-13,'399300,沪深300,3685.3933,3697.5917,3654.2742,3689.5834,9633171800
2019-06-12,'399300,沪深300,3691.0957,3711.8793,3683.9394,3706.8635,11917885300
2019-06-11,'399300,沪深300,3719.2759,3723.1419,3617.5239,3617.5239,14348280600
2019-06-10,'399300,沪深300,3610.7435,3623.7301,3568.2787,3578.0084,9237506100
2019-06-06,'399300,沪深300,3564.6778,3601.0356,3557.0167,3601.0356,8553440300
2019-06-05,'399300,沪深300,3597.105,3634.4536,3593.9515,3627.7947,8864202000
2019-06-04,'399300,沪深300,3598.4666,3636.128,3584.4612,3632.5602,8709709400
2019-06-03,'399300,沪深300,3632.0127,3672.8136,3613.1274,3640.6126,10072318000
2019-05-31,'399300,沪深300,3629.7893,3668.1796,3627.5448,3640.9963,8922226700
2019-05-30,'399300,沪深300,3641.1833,3650.9718,3612.6248,3648.8495,9420256100
2019-05-29,'399300,沪深300,3663.909,3693.2273,3637.3481,3642.5415,9335544100
2019-05-28,'399300,沪深300,3672.2605,3683.2306,3627.7878,3633.0182,11788624000
2019-05-27,'399300,沪深300,3637.1971,3648.0267,3556.2567,3592.6027,10883087100
2019-05-24,'399300,沪深300,3593.9139,3623.3904,3580.7853,3584.9016,8093404800
2019-05-23,'399300,沪深300,3583.9646,3631.4743,3578.1129,3629.5284,9989778100
2019-05-22,'399300,沪深300,3649.3796,3679.2727,3634.7479,3663.1533,9834612800
2019-05-21,'399300,沪深300,3666.7762,3690.0884,3610.6817,3619.4369,11102292000
