,Date,US30_des,lastday_des,vix,weekday,A300_des
0,2013-01-08,-0xb1,0xb2,1,1,-0xb1
1,2013-01-09,-0xb1,-0xb1,0,2,0xb0
2,2013-01-10,0xb1,0xb0,0,3,0xa2
3,2013-01-11,0xb1,0xa2,0,4,-0xb3
4,2013-01-14,0xb0,-0xb3,0,0,0xb3
5,2013-01-15,0xb0,0xb3,0,1,0xb1
6,2013-01-16,0xb0,0xb1,0,2,-0xb1
7,2013-01-17,-0xb0,-0xb1,0,3,-0xb2
8,2013-01-18,0xb1,-0xb2,0,4,0xb2
9,2013-01-21,0xb1,0xb2,0,0,0xb0
10,2013-01-22,0xb1,0xb0,0,1,-0xb1
11,2013-01-23,0xb1,-0xb1,0,2,0xb2
12,2013-01-24,0xb1,0xb2,0,3,-0xb2
13,2013-01-25,0xb0,-0xb2,0,4,-0xb1
14,2013-01-28,0xb1,-0xb1,0,0,0xb3
15,2013-01-29,-0xb0,0xb3,0,1,0xb2
16,2013-01-30,0xb1,0xb2,0,2,0xb1
17,2013-01-31,-0xb0,0xb1,1,3,-0xa0
18,2013-02-01,-0xb1,-0xa0,1,4,0xb3
19,2013-02-04,0xb3,0xb3,0,0,-0xb0
20,2013-02-05,-0xb2,-0xb0,1,1,0xb3
21,2013-02-06,0xb2,0xb3,0,2,0xa0
22,2013-02-07,0xa0,0xa0,0,3,-0xb1
23,2013-02-08,-0xb0,-0xb1,0,4,0xb1
24,2013-02-18,0xb0,0xb1,0,0,-0xb3
25,2013-02-19,0xb0,-0xb3,0,1,-0xb3
26,2013-02-20,0xb1,-0xb3,0,2,0xb1
27,2013-02-21,-0xb2,0xb1,0,3,-0xb3
28,2013-02-22,-0xb0,-0xb3,1,4,-0xb1
29,2013-02-25,0xb2,-0xb1,1,0,-0xa2
30,2013-02-26,-0xb3,-0xa2,1,1,-0xb2
31,2013-02-27,0xb2,-0xb2,1,2,0xb2
32,2013-02-28,0xb3,0xb2,1,3,0xb3
33,2013-03-01,-0xa0,0xb3,1,4,-0xa2
