,Date,nzd_direction,nzd_strength,nzd_trend,tec_direction,tec_strength,tec_trend,lastday_direction,lastday_strength,lastday_trend,vix,weekday,a50_direction,a50_strength,a50_trend
0,2017-03-17,0,0,0,0,0,0,0,0,0,0,4,-1,2,2
1,2017-03-20,1,1,1,0,0,0,-1,2,2,0,0,0,0,0
2,2017-03-21,-1,0,1,0,0,0,0,0,0,0,1,0,0,0
3,2017-03-22,-1,0,1,-1,2,2,0,0,0,0,2,0,0,0
4,2017-03-23,-1,1,1,1,0,1,0,0,0,0,3,0,1,0
5,2017-03-24,0,0,0,0,0,0,0,1,0,0,4,0,1,0
6,2017-03-27,0,0,0,1,0,1,0,1,0,0,0,0,0,0
7,2017-03-28,0,0,0,1,1,1,0,0,0,0,1,-1,1,1
8,2017-03-29,0,1,0,1,1,1,-1,1,1,0,2,0,0,0
9,2017-03-30,0,0,0,0,0,0,0,0,0,0,3,-1,1,2
10,2017-03-31,0,0,0,0,0,0,-1,1,2,0,4,1,0,1
11,2017-04-03,0,0,0,0,0,0,1,0,1,0,0,1,0,1
12,2017-04-04,0,0,0,0,0,0,1,0,1,0,1,0,0,0
13,2017-04-05,0,0,0,1,0,1,0,0,0,0,2,0,0,0
14,2017-04-06,1,2,2,1,0,1,0,0,0,0,3,0,1,0
15,2017-04-07,0,0,0,0,0,0,0,1,0,0,4,0,0,0
16,2017-04-10,0,0,0,0,0,0,0,0,0,0,0,-1,0,1
17,2017-04-11,0,0,0,0,0,0,-1,0,1,0,1,-1,1,1
18,2017-04-12,0,0,0,-1,1,1,-1,1,1,0,2,0,0,0
19,2017-04-13,0,0,0,0,0,0,0,0,0,0,3,0,0,0
20,2017-04-17,1,0,1,0,0,0,0,0,0,0,0,0,0,0
21,2017-04-18,1,0,1,0,0,0,0,0,0,0,1,0,0,0
22,2017-04-19,0,0,0,0,0,0,0,0,0,0,2,0,0,0
23,2017-04-20,1,5,3,0,0,0,0,0,0,0,3,1,1,2
24,2017-04-21,-1,1,1,1,0,1,1,1,2,0,4,0,0,0
25,2017-04-24,0,2,0,0,0,0,0,0,0,0,0,-1,1,2
26,2017-04-25,0,0,0,0,0,0,-1,1,2,0,1,1,0,1
27,2017-04-26,0,0,0,1,0,1,1,0,1,0,2,0,0,0
28,2017-04-27,0,0,0,0,0,0,0,0,0,0,3,0,0,0
29,2017-04-28,0,0,0,0,0,0,0,0,0,0,4,-1,0,1
30,2017-05-01,1,1,2,0,0,0,-1,0,1,0,0,0,0,0
31,2017-05-02,0,0,0,1,0,1,0,0,0,0,1,0,0,0
32,2017-05-03,1,4,4,0,0,0,0,0,0,0,2,0,0,0
33,2017-05-04,1,1,1,0,0,0,0,0,0,0,3,0,0,0
34,2017-05-05,0,0,0,0,0,0,0,0,0,0,4,-1,1,1
35,2017-05-08,0,0,0,0,0,0,-1,1,1,0,0,-1,1,1
36,2017-05-09,0,0,0,0,0,0,-1,1,1,0,1,0,0,0
37,2017-05-10,0,1,0,0,0,0,0,0,0,0,2,1,0,1
38,2017-05-11,-1,2,4,0,0,0,1,0,1,0,3,0,0,0
39,2017-05-12,-1,1,1,0,0,0,0,0,0,0,4,1,2,4
40,2017-05-15,0,2,0,0,0,0,1,2,4,0,0,0,0,0
41,2017-05-16,0,0,0,0,0,0,0,0,0,0,1,-1,1,1
42,2017-05-17,1,1,1,0,0,0,-1,1,1,0,2,-1,0,1
43,2017-05-18,-1,0,1,-1,2,2,-1,0,1,0,3,0,0,0
44,2017-05-19,0,0,0,1,1,2,0,0,0,0,4,1,0,1
45,2017-05-22,1,2,2,1,0,1,1,0,1,0,0,1,1,1
46,2017-05-23,0,0,0,1,1,1,1,1,1,0,1,1,2,3
47,2017-05-24,0,0,0,0,0,0,1,2,3,0,2,0,1,0
48,2017-05-25,0,0,0,0,0,0,0,1,0,0,3,1,4,5
49,2017-05-26,0,0,0,1,1,1,1,4,5,0,4,0,1,0
50,2017-05-29,0,0,0,0,0,0,0,1,0,0,0,0,0,0
51,2017-05-30,0,0,0,0,0,0,0,0,0,0,1,0,0,0
52,2017-05-31,-1,1,1,0,0,0,0,0,0,0,2,0,2,0
53,2017-06-01,-1,0,1,-1,1,1,0,2,0,0,3,1,1,1
54,2017-06-02,0,0,0,0,0,0,1,1,1,0,4,-1,1,1
55,2017-06-05,0,0,0,0,1,0,-1,1,1,0,0,-1,1,3
56,2017-06-06,0,0,0,0,0,0,-1,1,3,0,1,0,0,0
57,2017-06-07,1,0,1,0,0,0,0,0,0,0,2,1,1,3
58,2017-06-08,0,0,0,0,0,0,1,1,3,0,3,1,2,1
59,2017-06-09,0,0,0,0,0,0,1,2,1,0,4,1,1,2
60,2017-06-12,0,1,0,-1,4,2,1,1,2,0,0,0,1,0
61,2017-06-13,1,0,1,0,1,0,0,1,0,0,1,-1,1,1
62,2017-06-14,0,1,0,0,0,0,-1,1,1,0,2,-1,1,3
63,2017-06-15,-1,2,1,0,1,0,-1,1,3,0,3,-1,1,2
64,2017-06-16,0,0,0,0,1,0,-1,1,2,0,4,0,1,0
65,2017-06-19,0,0,0,-1,1,1,0,1,0,0,0,1,1,3
66,2017-06-20,0,0,0,1,1,1,1,1,3,0,1,-1,0,1
67,2017-06-21,1,0,1,0,0,0,-1,0,1,0,2,0,1,0
68,2017-06-22,0,0,0,1,1,2,0,1,0,0,3,1,3,5
69,2017-06-23,0,0,0,0,0,0,1,3,5,0,4,0,1,0
70,2017-06-26,0,0,0,0,1,0,0,1,0,0,0,1,1,3
71,2017-06-27,-1,1,1,-1,1,1,1,1,3,0,1,-1,1,1
72,2017-06-28,0,1,0,-1,1,1,-1,1,1,0,2,0,1,0
73,2017-06-29,0,0,0,1,1,2,0,1,0,0,3,0,0,0
